t = 0
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 
713.712 564.903 542.523 580.391 634.737 692.014 749.647 807.311 864.976 922.639 980.272 1037.55 1091.9 1129.76 1107.38 958.575 
771.377 622.568 600.188 638.056 692.402 749.679 807.312 864.976 922.64 980.304 1037.94 1095.21 1149.56 1187.43 1165.05 1016.24 
829.04 680.231 657.851 695.719 750.065 807.342 864.976 922.639 980.304 1037.97 1095.6 1152.88 1207.22 1245.09 1222.71 1073.9 
886.673 737.864 715.484 753.352 807.699 864.976 922.609 980.272 1037.94 1095.6 1153.23 1210.51 1264.86 1302.72 1280.34 1131.54 
943.95 795.141 772.761 810.629 864.976 922.253 979.886 1037.55 1095.21 1152.88 1210.51 1267.79 1322.13 1360 1337.62 1188.81 
998.296 849.487 827.107 864.976 919.322 976.599 1034.23 1091.9 1149.56 1207.22 1264.86 1322.13 1376.48 1414.35 1391.97 1243.16 
1036.16 887.356 864.976 902.844 957.19 1014.47 1072.1 1129.76 1187.43 1245.09 1302.72 1360 1414.35 1452.22 1429.84 1281.03 
1013.78 864.976 842.595 880.464 934.81 992.087 1049.72 1107.38 1165.05 1222.71 1280.34 1337.62 1391.97 1429.84 1407.46 1258.65 
864.976 716.167 693.787 731.655 786.001 843.278 900.911 958.575 1016.24 1073.9 1131.54 1188.81 1243.16 1281.03 1258.65 1109.84 

t = 50
8.78065e+09 8.08242e+09 7.61028e+09 7.43155e+09 7.53585e+09 7.86226e+09 8.33468e+09 8.88522e+09 9.45975e+09 1.00103e+10 1.04827e+10 1.08091e+10 1.09134e+10 1.07347e+10 1.02625e+10 9.56432e+09 
8.08242e+09 7.3842e+09 6.91206e+09 6.73333e+09 6.83762e+09 7.16404e+09 7.63646e+09 8.18699e+09 8.76153e+09 9.31206e+09 9.78448e+09 1.01109e+10 1.02152e+10 1.00365e+10 9.56432e+09 8.8661e+09 
7.61028e+09 6.91206e+09 6.43992e+09 6.26119e+09 6.36548e+09 6.6919e+09 7.16432e+09 7.71485e+09 8.28939e+09 8.83992e+09 9.31234e+09 9.63876e+09 9.74305e+09 9.56432e+09 9.09218e+09 8.39396e+09 
7.43155e+09 6.73333e+09 6.26119e+09 6.08246e+09 6.18676e+09 6.51317e+09 6.98559e+09 7.53613e+09 8.11066e+09 8.6612e+09 9.13362e+09 9.46003e+09 9.56432e+09 9.3856e+09 8.91346e+09 8.21523e+09 
7.53585e+09 6.83762e+09 6.36548e+09 6.18676e+09 6.29105e+09 6.61746e+09 7.08988e+09 7.64042e+09 8.21495e+09 8.76549e+09 9.23791e+09 9.56432e+09 9.66861e+09 9.48989e+09 9.01775e+09 8.31952e+09 
7.86226e+09 7.16404e+09 6.6919e+09 6.51317e+09 6.61746e+09 6.94388e+09 7.4163e+09 7.96683e+09 8.54137e+09 9.0919e+09 9.56432e+09 9.89074e+09 9.99503e+09 9.8163e+09 9.34416e+09 8.64594e+09 
8.33468e+09 7.63646e+09 7.16432e+09 6.98559e+09 7.08988e+09 7.4163e+09 7.88872e+09 8.43925e+09 9.01379e+09 9.56432e+09 1.00367e+10 1.03632e+10 1.04674e+10 1.02887e+10 9.81658e+09 9.11836e+09 
8.88522e+09 8.18699e+09 7.71485e+09 7.53613e+09 7.64042e+09 7.96683e+09 8.43925e+09 8.98979e+09 9.56432e+09 1.01149e+10 1.05873e+10 1.09137e+10 1.1018e+10 1.08393e+10 1.03671e+10 9.66889e+09 
9.45975e+09 8.76153e+09 8.28939e+09 8.11066e+09 8.21495e+09 8.54137e+09 9.01379e+09 9.56432e+09 1.01389e+10 1.06894e+10 1.11618e+10 1.14882e+10 1.15925e+10 1.14138e+10 1.09417e+10 1.02434e+10 
1.00103e+10 9.31206e+09 8.83992e+09 8.6612e+09 8.76549e+09 9.0919e+09 9.56432e+09 1.01149e+10 1.06894e+10 1.12399e+10 1.17123e+10 1.20388e+10 1.21431e+10 1.19643e+10 1.14922e+10 1.0794e+10 
1.04827e+10 9.78448e+09 9.31234e+09 9.13362e+09 9.23791e+09 9.56432e+09 1.00367e+10 1.05873e+10 1.11618e+10 1.17123e+10 1.21848e+10 1.25112e+10 1.26155e+10 1.24367e+10 1.19646e+10 1.12664e+10 
1.08091e+10 1.01109e+10 9.63876e+09 9.46003e+09 9.56432e+09 9.89074e+09 1.03632e+10 1.09137e+10 1.14882e+10 1.20388e+10 1.25112e+10 1.28376e+10 1.29419e+10 1.27632e+10 1.2291e+10 1.15928e+10 
1.09134e+10 1.02152e+10 9.74305e+09 9.56432e+09 9.66861e+09 9.99503e+09 1.04674e+10 1.1018e+10 1.15925e+10 1.21431e+10 1.26155e+10 1.29419e+10 1.30462e+10 1.28675e+10 1.23953e+10 1.16971e+10 
1.07347e+10 1.00365e+10 9.56432e+09 9.3856e+09 9.48989e+09 9.8163e+09 1.02887e+10 1.08393e+10 1.14138e+10 1.19643e+10 1.24367e+10 1.27632e+10 1.28675e+10 1.26887e+10 1.22166e+10 1.15184e+10 
1.02625e+10 9.56432e+09 9.09218e+09 8.91346e+09 9.01775e+09 9.34416e+09 9.81658e+09 1.03671e+10 1.09417e+10 1.14922e+10 1.19646e+10 1.2291e+10 1.23953e+10 1.22166e+10 1.17444e+10 1.10462e+10 
9.56432e+09 8.8661e+09 8.39396e+09 8.21523e+09 8.31952e+09 8.64594e+09 9.11836e+09 9.66889e+09 1.02434e+10 1.0794e+10 1.12664e+10 1.15928e+10 1.16971e+10 1.15184e+10 1.10462e+10 1.0348e+10 

